Cebuano,English
usa,deer
siya,he
sila,they
kini,it
anak,son
mao,is
dili,not
bohol,bohol
ako,I
niini,this
gikan,from
alang,for
apan,but
ngadto,unto
diha,in
aron,to
kaniya,him
tawo,people
wala,nothing
niya,he even
bisan,although
tungod,because
karon,today
tanan,all
kanila,them
uban,others
kamo,you
yuta,earth
ingon,as
usab,also
ikaw,you
didto,there
bisaya,visayan
kanimo,you
adlaw,day
kanako,me
atong,our
miingon,says
hari,king
pulong,meeting
balay,house
ibabaw,surface
nila,they
maoy,is
maong,jeans
unya,then
binisaya,bisaya
bol-anon,bol-anon
katawohan,people
batok,against
unsa,what
diin,where
atubangan,before
tuig,year
pinaagi,through
dapit,sites
babaye,woman
duha,both
amahan,father
tubag,answers
kamot,hand
busa,therefore
sulod,contents
ninyo,you
balita,news
kaninyo,you
sama,like
kaayo,kindness
kinsa,who
ngalan,name
niana,that
ania,here
kinabuhi,life
anaa,available
kaugalingon,yourself
opinyon,opinion
among,our
sumala,according
banat,freeman
lamang,only
butang,things
maayo,good
ayaw,do not
panahon,period
bahin,about
normal,normally
nako,I
taliwala,amid
kasingkasing,heart
manila,prey
kita,income
kalingawan,recreation
diay,then
human,by
unta,come
labing,most
dinhi,here
sugilanon,moonlight romance
mata,eye
sab,too
panon,crowd
naa,there
kami,we
daghan,many
tubig,water
samtang,while
oro,gold
nimo,you
buhat,acts
gawas,apart
buot,wanted
gugma,love
dalan,way
gani,so
ulo,head
solid,solid
duruha,two
balaan,holy
gula,issue
pinulongan,languages
pinoy,pinoy
dayon,then
asawa,wife
kana,that
katawhan,people
gyod,really
patay,dead
taga,hacking
una,first
mayor,mayor
napulo,ten
sunod,next
bata,children
hubag,boil
gibuhat,doing
tingog,voice
gihimo,done
lawas,body
bulawan,gold
nasod,nations
editor,editor
balaod,law
kahoy,trees
tibuok,around
lima,five
nakita,found
panimalay,home
kalag,soul
bato,stone
kalayo,fire
mahimo,can
nato,us
metro,meter
halaran,altar
iya,his
nahitabo,happened
dugo,blood
sala,la
salapi,cash
biktima,victims
halad,offerings
balak,plan
langit,heaven
libo,thousands
sukad,from
buhi,alive
nawong,face
pero,but
espiritu,spirit
gihatag,given
hasta,until
kinahanglan,need
hinungdan,cause
sugbo,suddenly
katilingban,community
giingon,what
magasin,magazine
kanato,us
alagad,disciple
matod,says
upat,four
isip,mind
inahan,mother
dagat,sea
unsaon,how
banay,family
gihapon,still
kaha,carton
bukid,farm
tinuod,granted
tigi,stubborn
pito,seven
angay,should
ana,there
matag,every
kusog,force
namo,we
pangutana,questions
bulan,months
dako,great
gamay,small
